State,CMS Certification Number (CCN),Provider Name,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
2,17000,13,8,36104,3342065341.0,4,1.0,1.0,1.0,1.0,1.0,1.0,204760800.0,3.0,94.0,42.5,86.7,86.3,87.1,82.4,82.3,15.6,9.7,0.0,95.7,1.5,97.9,555.0,720.0,77.08,86.26,82.7,89.53,2.0,14.0,318.0,4.4,3.81,2.79,5.14,1.0,34.0,348.0,9.77,8.79,6.62,11.54,1.0,0.97,1624.0
=======
2,17000,13,8,36104,3342065341.0,4,1.0,1.0,1.0,1.0,1.0,1.0,204757200.0,3.0,94.0,42.5,86.7,86.3,87.1,82.4,82.3,15.6,9.7,0.0,95.7,1.5,97.9,555.0,720.0,77.08,86.26,82.7,89.53,2.0,14.0,318.0,4.4,3.81,2.79,5.14,1.0,34.0,348.0,9.77,8.79,6.62,11.54,1.0,0.97,1624.0
>>>>>>> main
2,17009,14,9,35216,2058242680.0,3,1.0,1.0,1.0,1.0,1.0,1.0,411516000.0,3.5,97.7,61.6,87.7,87.4,88.0,85.7,87.4,16.4,9.3,0.2,98.2,0.8,99.5,4542.0,6057.0,74.99,80.68,79.51,81.79,2.0,103.0,2958.0,3.48,3.74,3.22,4.38,1.0,443.0,3393.0,13.06,12.27,11.37,13.34,0.0,1.04,13044.0
2,17013,15,10,36330,3343470234.0,3,1.0,1.0,1.0,0.0,0.0,1.0,490741200.0,4.0,99.6,62.1,87.4,87.2,87.2,86.5,82.1,13.6,15.3,1.1,95.0,0.6,99.7,422.0,524.0,80.53,84.37,80.64,87.49,2.0,5.0,210.0,2.38,3.62,2.52,5.06,1.0,34.0,288.0,11.81,11.05,8.33,14.26,1.0,0.9,1077.0
2,17014,16,11,35031,2054294919.0,3,1.0,1.0,1.0,1.0,1.0,1.0,494370000.0,4.0,99.8,62.7,88.6,90.3,89.8,89.0,85.7,14.3,12.8,0.0,98.1,2.1,97.0,272.0,372.0,73.12,79.97,75.27,84.51,1.0,7.0,170.0,4.12,3.93,2.92,5.61,1.0,28.0,229.0,12.23,10.32,7.83,13.88,1.0,0.96,663.0
2,17016,17,10,36330,3343474800.0,3,1.0,1.0,1.0,1.0,1.0,1.0,518475600.0,4.0,99.6,64.2,89.5,88.9,88.9,90.0,85.6,15.0,12.7,0.5,98.7,0.4,100.0,458.0,546.0,83.88,88.48,84.94,91.42,2.0,5.0,253.0,1.98,3.52,2.48,4.96,1.0,37.0,289.0,12.8,12.52,9.42,16.4,1.0,0.98,890.0
2,17018,15,12,35906,2564421138.0,3,1.0,1.0,1.0,1.0,1.0,1.0,536277600.0,5.0,99.9,85.0,96.9,94.2,95.8,93.5,96.0,14.8,10.0,0.0,99.1,1.4,98.8,698.0,986.0,70.79,76.61,73.16,79.54,1.0,6.0,303.0,1.98,3.27,2.27,4.5,1.0,52.0,593.0,8.77,8.87,6.83,11.16,1.0,1.04,2981.0
2,17020,18,13,36607,2513800492.0,3,1.0,1.0,1.0,1.0,1.0,1.0,548542800.0,4.5,99.9,71.3,89.3,92.7,88.9,95.6,86.9,16.8,10.3,0.3,98.5,0.6,97.6,582.0,813.0,71.59,78.21,74.65,81.37,1.0,11.0,414.0,2.66,3.52,2.56,4.89,1.0,53.0,418.0,12.68,10.94,8.62,13.48,1.0,1.02,1476.0
2,17024,17,14,36301,3347940591.0,3,1.0,1.0,1.0,1.0,1.0,1.0,580856400.0,4.0,99.4,71.0,91.0,92.4,90.4,89.5,85.2,17.7,8.9,0.1,98.9,0.5,100.0,833.0,1050.0,79.33,83.78,81.17,86.04,2.0,17.0,497.0,3.42,3.85,2.83,5.15,1.0,71.0,553.0,12.84,12.26,9.79,14.9,1.0,0.97,1600.0
2,17025,19,13,36609,2513439600.0,3,1.0,1.0,1.0,1.0,1.0,1.0,599004000.0,2.0,91.3,41.9,74.2,73.0,77.1,79.1,75.4,15.6,8.6,0.2,97.0,0.8,96.4,891.0,1281.0,69.56,73.3,70.79,75.85,0.0,22.0,548.0,4.01,4.19,3.18,5.7,1.0,90.0,741.0,12.15,11.89,10.12,14.46,0.0,0.98,2252.0
2,17026,20,15,35244,2057397800.0,3,1.0,1.0,1.0,1.0,1.0,1.0,606866400.0,4.5,100.0,64.6,91.5,89.4,92.4,92.1,90.1,17.2,9.0,0.2,97.3,1.4,99.8,640.0,959.0,66.74,72.93,69.9,76.24,0.0,13.0,348.0,3.74,3.77,2.7,5.14,1.0,72.0,607.0,11.86,10.7,8.77,12.98,1.0,1.02,1899.0
2,17027,21,16,35603,2563504182.0,3,1.0,1.0,1.0,1.0,1.0,1.0,617058000.0,4.0,99.9,71.0,88.4,88.0,92.1,89.7,85.1,14.4,10.1,0.3,99.5,1.0,99.8,1516.0,1853.0,81.81,87.22,85.17,89.09,2.0,23.0,853.0,2.7,3.17,2.42,4.1,1.0,111.0,1010.0,10.99,10.87,9.14,12.92,1.0,0.98,2713.0
2,17034,22,17,36535,2516214431.0,1,1.0,1.0,1.0,1.0,1.0,1.0,675032400.0,3.5,99.5,73.9,85.6,87.9,87.3,84.2,83.1,13.4,11.8,0.0,98.7,0.9,99.4,760.0,997.0,76.23,80.73,77.76,83.26,2.0,20.0,408.0,4.9,4.44,3.26,6.05,1.0,55.0,479.0,11.48,10.86,8.64,13.45,1.0,0.96,2213.0
2,17035,23,13,36608,2514503300.0,3,1.0,1.0,1.0,1.0,1.0,1.0,682462800.0,4.5,99.6,72.2,87.2,89.2,88.0,92.3,85.7,9.6,8.7,0.2,97.1,0.6,100.0,642.0,805.0,79.75,83.28,80.55,85.78,2.0,17.0,514.0,3.31,3.86,2.86,4.98,1.0,37.0,389.0,9.51,9.31,7.18,12.1,1.0,0.92,1146.0
2,17037,24,8,36117,3343955100.0,3,1.0,1.0,1.0,1.0,1.0,1.0,686091600.0,4.0,99.9,66.1,89.9,89.4,91.8,91.7,84.6,17.7,11.5,0.2,99.6,1.0,99.8,465.0,568.0,81.87,89.06,85.68,91.84,2.0,12.0,292.0,4.11,3.9,2.88,5.28,1.0,31.0,299.0,10.37,10.12,7.59,13.21,1.0,1.0,801.0
2,17039,25,18,35801,2568851665.0,3,1.0,1.0,1.0,1.0,1.0,1.0,712702800.0,4.0,100.0,79.3,89.8,91.6,95.5,87.2,90.0,18.8,11.8,0.4,95.5,0.7,96.8,1235.0,1714.0,72.05,77.78,75.42,79.82,1.0,40.0,678.0,5.9,5.02,3.91,6.57,0.0,122.0,945.0,12.91,12.57,10.78,14.66,0.0,1.07,2841.0
2,17048,15,19,36340,3346843919.0,3,1.0,1.0,1.0,1.0,0.0,1.0,755042400.0,3.5,100.0,66.7,86.4,82.5,90.1,83.6,86.8,17.0,10.1,0.9,97.5,0.7,100.0,254.0,342.0,74.27,77.17,72.14,81.48,1.0,1.0,108.0,0.93,3.56,2.47,5.1,1.0,26.0,220.0,11.82,12.3,8.99,16.43,1.0,1.03,768.0
2,17051,26,20,35209,2058680147.0,3,1.0,1.0,1.0,1.0,1.0,1.0,770245200.0,4.5,99.8,66.8,91.6,92.5,91.9,91.2,92.4,15.0,11.0,0.1,98.0,0.7,99.2,985.0,1253.0,78.61,83.24,80.8,85.45,2.0,17.0,565.0,3.01,3.69,2.76,4.99,1.0,59.0,709.0,8.32,8.84,7.15,11.13,1.0,0.99,1697.0
2,17052,15,17,36535,2519433002.0,3,1.0,1.0,1.0,1.0,1.0,1.0,779835600.0,4.0,99.9,91.3,84.8,85.9,86.2,88.5,79.8,13.6,13.3,0.0,98.0,1.6,100.0,721.0,844.0,85.43,85.96,83.48,88.19,2.0,10.0,363.0,2.75,3.94,2.81,5.34,1.0,42.0,471.0,8.92,10.45,7.93,13.32,1.0,1.01,1454.0
2,17053,27,14,36305,3347935758.0,3,1.0,1.0,1.0,1.0,1.0,1.0,777157200.0,4.0,97.8,62.7,89.2,91.9,89.8,87.9,91.8,15.2,12.9,0.0,97.7,1.4,98.9,1759.0,2279.0,77.18,81.68,79.93,83.44,2.0,29.0,957.0,3.03,3.57,2.77,4.52,1.0,168.0,1301.0,12.91,12.47,10.94,14.19,0.0,1.04,4963.0
2,17054,15,21,35209,2058360777.0,3,1.0,1.0,1.0,1.0,1.0,1.0,778453200.0,4.5,99.7,69.3,97.9,96.0,94.0,86.9,93.4,15.6,11.8,0.4,97.5,0.6,99.0,399.0,556.0,71.76,80.3,76.01,84.0,1.0,6.0,195.0,3.08,3.59,2.53,5.06,1.0,31.0,333.0,9.31,8.31,6.35,10.88,1.0,1.02,1002.0
2,17055,15,22,36066,3343619806.0,3,1.0,1.0,1.0,1.0,1.0,1.0,770850000.0,4.0,99.7,67.7,91.4,86.7,91.7,85.3,84.7,14.0,9.9,0.1,98.2,0.5,99.8,385.0,509.0,75.64,82.2,77.73,85.62,2.0,5.0,222.0,2.25,3.46,2.42,4.71,1.0,30.0,272.0,11.03,9.78,7.25,12.88,1.0,1.03,790.0
2,17056,15,23,36064,3342701151.0,3,1.0,1.0,1.0,1.0,1.0,1.0,786232800.0,4.0,99.4,69.3,90.3,86.2,89.0,94.6,85.2,15.2,7.5,0.2,98.6,0.4,99.8,331.0,484.0,68.39,74.57,70.22,79.06,1.0,6.0,216.0,2.78,3.55,2.5,4.97,1.0,31.0,246.0,12.6,10.84,8.07,14.33,1.0,1.08,872.0
<<<<<<< HEAD
2,17058,15,24,36526,2516210882.0,3,1.0,1.0,1.0,1.0,1.0,1.0,782863200.0,4.0,98.0,77.6,89.6,87.4,89.8,90.3,87.4,16.3,10.9,0.1,97.7,0.5,99.5,773.0,1060.0,72.92,74.85,72.24,77.13,1.0,11.0,358.0,3.07,4.02,2.94,5.39,1.0,76.0,648.0,11.73,12.71,10.52,15.21,0.0,1.06,2174.0
=======
2,17058,15,24,36526,2516210882.0,3,1.0,1.0,1.0,1.0,1.0,1.0,782859600.0,4.0,98.0,77.6,89.6,87.4,89.8,90.3,87.4,16.3,10.9,0.1,97.7,0.5,99.5,773.0,1060.0,72.92,74.85,72.24,77.13,1.0,11.0,358.0,3.07,4.02,2.94,5.39,1.0,76.0,648.0,11.73,12.71,10.52,15.21,0.0,1.06,2174.0
>>>>>>> main
2,17066,28,13,36607,2514338172.0,3,1.0,1.0,1.0,1.0,1.0,1.0,824940000.0,5.0,99.6,94.3,96.4,94.9,96.9,95.4,99.0,14.9,9.6,0.0,99.6,1.3,100.0,272.0,419.0,64.92,74.01,68.88,78.5,1.0,8.0,184.0,4.35,3.99,2.9,5.56,1.0,47.0,359.0,13.09,9.81,7.88,12.25,1.0,1.05,929.0
2,17069,29,17,36535,8007636382.0,3,1.0,1.0,1.0,1.0,1.0,1.0,835909200.0,4.5,99.8,77.6,88.6,92.5,92.6,93.8,85.8,16.2,11.3,0.2,99.6,0.8,98.8,1026.0,1355.0,75.72,80.4,78.11,82.61,2.0,29.0,739.0,3.92,4.09,3.14,5.23,1.0,96.0,787.0,12.2,12.07,10.03,14.31,0.0,1.03,2495.0
2,17070,30,25,36522,2518663261.0,3,1.0,1.0,1.0,1.0,1.0,1.0,835909200.0,4.0,100.0,62.4,90.2,93.3,93.0,89.9,86.2,19.6,13.3,0.0,98.0,0.6,100.0,248.0,333.0,74.47,81.68,76.46,86.15,1.0,1.0,128.0,0.78,3.34,2.36,4.69,1.0,29.0,210.0,13.81,10.87,8.08,14.2,1.0,0.99,689.0
2,17071,15,26,35650,2569742741.0,3,1.0,1.0,1.0,1.0,1.0,1.0,840315600.0,5.0,99.9,79.6,100.0,97.6,97.4,91.3,98.7,15.7,10.9,0.0,96.1,1.5,96.7,2496.0,3486.0,71.6,77.4,75.55,79.09,1.0,24.0,1102.0,2.18,2.92,2.21,3.86,2.0,261.0,2059.0,12.68,12.41,11.21,13.99,0.0,1.06,9933.0
2,17072,31,27,36037,3343822042.0,3,1.0,1.0,1.0,0.0,0.0,1.0,854834400.0,4.5,99.4,57.1,92.0,89.8,91.9,90.1,90.3,11.3,13.7,0.1,98.1,1.3,98.3,243.0,336.0,72.32,79.09,73.55,83.78,1.0,5.0,124.0,4.03,3.92,2.69,5.47,1.0,18.0,156.0,11.54,10.29,7.34,14.44,1.0,0.96,660.0
2,17078,32,28,35447,8002777445.0,3,1.0,1.0,1.0,1.0,1.0,1.0,960498000.0,4.5,100.0,79.1,90.8,92.5,92.3,88.8,89.1,11.8,7.1,0.0,99.3,0.7,99.0,299.0,392.0,76.28,81.38,76.76,85.24,2.0,3.0,131.0,2.29,3.57,2.51,5.18,1.0,30.0,219.0,13.7,12.74,9.4,16.77,1.0,1.03,798.0
2,17079,14,29,35592,2056956736.0,3,1.0,1.0,0.0,1.0,0.0,1.0,977090400.0,4.0,99.1,55.1,90.6,87.6,88.8,86.9,88.1,14.1,13.8,0.0,98.7,2.6,99.6,149.0,206.0,72.33,76.3,69.96,82.35,1.0,2.0,83.0,2.41,3.77,2.52,5.53,1.0,20.0,114.0,17.54,14.52,9.86,21.11,1.0,1.04,687.0
2,17080,33,30,35401,2057597010.0,2,1.0,1.0,1.0,1.0,1.0,1.0,988491600.0,3.5,99.4,79.4,85.9,81.4,87.2,89.1,76.5,16.9,7.7,0.2,99.5,0.2,99.8,586.0,749.0,78.24,84.46,81.36,87.4,2.0,10.0,327.0,3.06,3.51,2.5,4.83,1.0,34.0,363.0,9.37,9.75,7.35,12.69,1.0,0.94,1037.0
2,17082,34,31,35042,2059263211.0,3,1.0,1.0,0.0,0.0,0.0,1.0,1004824800.0,3.0,87.3,76.4,71.5,87.0,74.7,83.0,83.2,9.8,11.2,0.4,97.8,0.6,99.8,31.0,65.0,47.69,56.43,44.43,68.62,0.0,3.0,27.0,11.11,4.16,2.93,6.13,1.0,9.0,54.0,16.67,12.02,7.28,18.53,1.0,1.06,244.0
2,17084,15,32,36701,3348726637.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1006034400.0,4.5,100.0,96.3,93.4,90.5,92.1,96.5,89.7,18.4,18.2,0.0,99.1,0.3,99.5,163.0,224.0,72.77,83.18,76.26,89.01,1.0,3.0,109.0,2.75,3.64,2.43,5.15,1.0,18.0,146.0,12.33,9.53,6.66,13.24,1.0,1.0,480.0
2,17085,35,33,35150,2562080087.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1007244000.0,4.5,100.0,57.1,89.6,91.8,87.9,89.8,85.0,13.5,13.5,0.0,91.0,0.5,100.0,335.0,407.0,82.31,91.38,86.83,95.2,2.0,5.0,220.0,2.27,3.4,2.51,4.9,1.0,25.0,239.0,10.46,9.93,7.4,13.59,1.0,1.07,724.0
2,17086,36,34,36726,3346829050.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1010268000.0,4.0,98.6,63.2,94.5,87.4,87.8,97.5,84.3,11.7,14.4,0.7,95.7,0.6,100.0,208.0,253.0,82.21,83.49,78.03,87.33,2.0,2.0,56.0,3.57,3.8,2.7,5.41,1.0,9.0,115.0,7.83,10.05,6.55,15.26,1.0,0.84,533.0
2,17088,37,35,35555,2059325961.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1008367200.0,5.0,100.0,72.6,95.4,94.5,89.9,94.6,94.4,12.2,10.8,0.6,99.6,2.4,100.0,257.0,321.0,80.06,87.3,82.52,92.03,2.0,5.0,140.0,3.57,3.78,2.58,5.22,1.0,21.0,195.0,10.77,10.02,7.03,13.88,1.0,0.95,744.0
2,17089,38,36,35058,2567372831.0,2,1.0,1.0,1.0,0.0,1.0,1.0,1023570000.0,3.0,98.1,62.3,82.4,86.1,87.6,81.5,81.5,14.9,7.0,0.2,99.1,0.9,100.0,450.0,545.0,82.57,88.51,85.04,91.53,2.0,10.0,288.0,3.47,3.75,2.7,5.09,1.0,14.0,278.0,5.04,6.0,4.1,8.47,2.0,1.0,778.0
2,17090,15,37,36904,2518432808.0,3,1.0,1.0,0.0,0.0,0.0,1.0,1023483600.0,4.5,99.8,73.3,95.0,92.4,91.7,91.5,88.6,16.3,16.2,0.0,74.6,0.5,100.0,336.0,462.0,72.73,80.04,75.5,84.12,1.0,3.0,160.0,1.88,3.45,2.46,4.93,1.0,26.0,267.0,9.74,8.91,6.63,11.99,1.0,0.98,766.0
2,17091,39,38,36744,3346243066.0,4,1.0,1.0,1.0,1.0,0.0,1.0,1024174800.0,2.5,97.4,58.9,79.6,79.4,88.0,77.3,74.7,22.2,11.3,1.8,97.0,0.4,100.0,127.0,162.0,78.4,82.38,75.08,88.34,1.0,2.0,67.0,2.99,3.74,2.6,5.4,1.0,13.0,86.0,15.12,13.12,8.63,19.78,1.0,1.08,367.0
2,17092,14,28,35447,2053678111.0,3,1.0,1.0,0.0,1.0,0.0,1.0,1025298000.0,4.0,99.1,63.0,86.3,91.7,86.5,81.4,91.0,9.0,12.2,0.7,97.2,1.4,98.1,90.0,133.0,67.67,73.05,64.58,79.85,1.0,2.0,45.0,4.44,3.95,2.69,5.76,1.0,8.0,70.0,11.43,10.17,6.46,15.41,1.0,0.98,573.0
2,17093,40,39,35968,2565242411.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1027803600.0,5.0,100.0,81.2,100.0,94.5,95.7,92.3,93.5,13.3,15.6,0.0,98.7,1.1,100.0,152.0,190.0,80.0,84.66,78.61,89.77,2.0,1.0,99.0,1.01,3.55,2.39,5.15,1.0,13.0,105.0,12.38,10.72,7.32,15.52,1.0,0.88,439.0
2,17094,41,40,35960,2569271144.0,3,1.0,1.0,1.0,0.0,1.0,1.0,1029013200.0,4.5,100.0,53.6,93.2,90.8,97.1,91.5,90.0,15.2,8.3,0.0,98.9,1.1,100.0,292.0,370.0,78.92,84.47,80.59,88.66,2.0,3.0,153.0,1.96,3.47,2.45,4.88,1.0,25.0,175.0,14.29,12.98,9.53,17.48,1.0,0.98,784.0
2,17095,42,41,35611,2562339533.0,3,1.0,1.0,1.0,1.0,1.0,0.0,1028926800.0,4.0,99.3,60.1,89.2,93.8,86.9,89.0,85.4,11.8,14.0,0.0,99.1,0.9,99.9,525.0,652.0,80.52,87.89,84.24,91.0,2.0,12.0,332.0,3.61,3.91,2.87,5.14,1.0,34.0,327.0,10.4,9.41,7.02,12.19,1.0,0.97,1181.0
2,17096,43,42,36081,3344034520.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1035493200.0,4.0,99.9,49.2,89.8,89.5,88.4,87.5,85.5,13.2,17.0,0.1,99.6,0.0,100.0,291.0,368.0,79.08,83.34,78.64,87.32,2.0,1.0,92.0,1.09,3.54,2.25,5.09,1.0,15.0,170.0,8.82,9.79,6.48,13.99,1.0,0.91,680.0
2,17097,44,43,36251,2563540077.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1035493200.0,3.5,99.7,49.3,88.2,87.7,89.1,89.6,84.8,16.5,19.0,0.7,98.7,2.2,100.0,174.0,221.0,78.73,83.38,77.68,88.57,2.0,5.0,95.0,5.26,4.13,2.75,6.06,1.0,19.0,122.0,15.57,13.85,9.24,19.82,1.0,0.93,446.0
2,17100,45,44,35570,2059210391.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1035666000.0,4.5,100.0,78.2,89.8,89.9,93.2,83.5,88.8,12.1,18.5,0.9,97.5,0.0,100.0,148.0,177.0,83.62,89.4,82.31,94.06,2.0,6.0,85.0,7.06,4.31,3.04,6.07,1.0,8.0,68.0,11.76,10.56,6.66,16.25,1.0,0.88,427.0
2,17103,46,45,36732,3342890701.0,4,1.0,1.0,1.0,1.0,0.0,1.0,1040421600.0,2.5,85.5,40.6,65.5,53.1,81.0,80.6,68.9,13.8,3.9,0.0,87.2,2.1,100.0,83.0,118.0,70.34,73.73,64.94,81.3,1.0,2.0,33.0,6.06,4.0,2.78,5.61,1.0,1.0,56.0,1.79,7.22,4.2,12.42,1.0,0.8,324.0
