State,CMS Certification Number (CCN),Provider Name,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,27036,11,4,99654,9073573655,3,Yes,Yes,No,Yes,Yes,Yes,1810328400.0,2.0,65.4,35.6,60.1,70.1,61.7,61.8,62.8,7.7,18.0,0.0,70.6,0.9,98.2,156,217,71.89,75.22,67.89,81.24,Same As National Rate,6,96,6.25,4.21,2.91,6.24,Same As National Rate,11,81,13.58,11.39,7.46,16.47,Same As National Rate,0.90,437
1,27038,12,7,99669,9072604444,3,Yes,Yes,No,No,No,No,1908306000.0,2.5,99.0,58.6,74.5,77.8,70.9,58.5,73.1,15.2,15.4,0.4,82.5,0.8,100.0,313,492,63.62,68.27,63.87,72.41,Worse Than National Rate,6,177,3.39,3.85,2.71,5.34,Same As National Rate,29,277,10.47,11.01,7.89,15.18,Same As National Rate,0.94,591
2,17000,13,8,36104,3342065341,4,Yes,Yes,Yes,Yes,Yes,Yes,204757200.0,3.0,94.0,42.5,86.7,86.3,87.1,82.4,82.3,15.6,9.7,0.0,95.7,1.5,97.9,555,720,77.08,86.26,82.70,89.53,Better Than National Rate,14,318,4.40,3.81,2.79,5.14,Same As National Rate,34,348,9.77,8.79,6.62,11.54,Same As National Rate,0.97,"1,624"
2,17009,14,9,35216,2058242680,3,Yes,Yes,Yes,Yes,Yes,Yes,411516000.0,3.5,97.7,61.6,87.7,87.4,88.0,85.7,87.4,16.4,9.3,0.2,98.2,0.8,99.5,"4,542","6,057",74.99,80.68,79.51,81.79,Better Than National Rate,103,"2,958",3.48,3.74,3.22,4.38,Same As National Rate,443,"3,393",13.06,12.27,11.37,13.34,Worse Than National Rate,1.04,"13,044"
2,17013,15,10,36330,3343470234,3,Yes,Yes,Yes,No,No,Yes,490741200.0,4.0,99.6,62.1,87.4,87.2,87.2,86.5,82.1,13.6,15.3,1.1,95.0,0.6,99.7,422,524,80.53,84.37,80.64,87.49,Better Than National Rate,5,210,2.38,3.62,2.52,5.06,Same As National Rate,34,288,11.81,11.05,8.33,14.26,Same As National Rate,0.90,"1,077"
2,17014,16,11,35031,2054294919,3,Yes,Yes,Yes,Yes,Yes,Yes,494370000.0,4.0,99.8,62.7,88.6,90.3,89.8,89.0,85.7,14.3,12.8,0.0,98.1,2.1,97.0,272,372,73.12,79.97,75.27,84.51,Same As National Rate,7,170,4.12,3.93,2.92,5.61,Same As National Rate,28,229,12.23,10.32,7.83,13.88,Same As National Rate,0.96,663
2,17016,17,10,36330,3343474800,3,Yes,Yes,Yes,Yes,Yes,Yes,518475600.0,4.0,99.6,64.2,89.5,88.9,88.9,90.0,85.6,15.0,12.7,0.5,98.7,0.4,100.0,458,546,83.88,88.48,84.94,91.42,Better Than National Rate,5,253,1.98,3.52,2.48,4.96,Same As National Rate,37,289,12.80,12.52,9.42,16.40,Same As National Rate,0.98,890
2,17018,15,12,35906,2564421138,3,Yes,Yes,Yes,Yes,Yes,Yes,536277600.0,5.0,99.9,85.0,96.9,94.2,95.8,93.5,96.0,14.8,10.0,0.0,99.1,1.4,98.8,698,986,70.79,76.61,73.16,79.54,Same As National Rate,6,303,1.98,3.27,2.27,4.50,Same As National Rate,52,593,8.77,8.87,6.83,11.16,Same As National Rate,1.04,"2,981"
2,17020,18,13,36607,2513800492,3,Yes,Yes,Yes,Yes,Yes,Yes,548542800.0,4.5,99.9,71.3,89.3,92.7,88.9,95.6,86.9,16.8,10.3,0.3,98.5,0.6,97.6,582,813,71.59,78.21,74.65,81.37,Same As National Rate,11,414,2.66,3.52,2.56,4.89,Same As National Rate,53,418,12.68,10.94,8.62,13.48,Same As National Rate,1.02,"1,476"
2,17024,17,14,36301,3347940591,3,Yes,Yes,Yes,Yes,Yes,Yes,580856400.0,4.0,99.4,71.0,91.0,92.4,90.4,89.5,85.2,17.7,8.9,0.1,98.9,0.5,100.0,833,"1,050",79.33,83.78,81.17,86.04,Better Than National Rate,17,497,3.42,3.85,2.83,5.15,Same As National Rate,71,553,12.84,12.26,9.79,14.90,Same As National Rate,0.97,"1,600"
2,17025,19,13,36609,2513439600,3,Yes,Yes,Yes,Yes,Yes,Yes,599004000.0,2.0,91.3,41.9,74.2,73.0,77.1,79.1,75.4,15.6,8.6,0.2,97.0,0.8,96.4,891,"1,281",69.56,73.30,70.79,75.85,Worse Than National Rate,22,548,4.01,4.19,3.18,5.70,Same As National Rate,90,741,12.15,11.89,10.12,14.46,Worse Than National Rate,0.98,"2,252"
2,17026,20,15,35244,2057397800,3,Yes,Yes,Yes,Yes,Yes,Yes,606866400.0,4.5,100.0,64.6,91.5,89.4,92.4,92.1,90.1,17.2,9.0,0.2,97.3,1.4,99.8,640,959,66.74,72.93,69.90,76.24,Worse Than National Rate,13,348,3.74,3.77,2.70,5.14,Same As National Rate,72,607,11.86,10.70,8.77,12.98,Same As National Rate,1.02,"1,899"
2,17027,21,16,35603,2563504182,3,Yes,Yes,Yes,Yes,Yes,Yes,617058000.0,4.0,99.9,71.0,88.4,88.0,92.1,89.7,85.1,14.4,10.1,0.3,99.5,1.0,99.8,"1,516","1,853",81.81,87.22,85.17,89.09,Better Than National Rate,23,853,2.70,3.17,2.42,4.10,Same As National Rate,111,"1,010",10.99,10.87,9.14,12.92,Same As National Rate,0.98,"2,713"
2,17034,22,17,36535,2516214431,1,Yes,Yes,Yes,Yes,Yes,Yes,675032400.0,3.5,99.5,73.9,85.6,87.9,87.3,84.2,83.1,13.4,11.8,0.0,98.7,0.9,99.4,760,997,76.23,80.73,77.76,83.26,Better Than National Rate,20,408,4.90,4.44,3.26,6.05,Same As National Rate,55,479,11.48,10.86,8.64,13.45,Same As National Rate,0.96,"2,213"
2,17035,23,13,36608,2514503300,3,Yes,Yes,Yes,Yes,Yes,Yes,682462800.0,4.5,99.6,72.2,87.2,89.2,88.0,92.3,85.7,9.6,8.7,0.2,97.1,0.6,100.0,642,805,79.75,83.28,80.55,85.78,Better Than National Rate,17,514,3.31,3.86,2.86,4.98,Same As National Rate,37,389,9.51,9.31,7.18,12.10,Same As National Rate,0.92,"1,146"
2,17037,24,8,36117,3343955100,3,Yes,Yes,Yes,Yes,Yes,Yes,686091600.0,4.0,99.9,66.1,89.9,89.4,91.8,91.7,84.6,17.7,11.5,0.2,99.6,1.0,99.8,465,568,81.87,89.06,85.68,91.84,Better Than National Rate,12,292,4.11,3.90,2.88,5.28,Same As National Rate,31,299,10.37,10.12,7.59,13.21,Same As National Rate,1.00,801
2,17039,25,18,35801,2568851665,3,Yes,Yes,Yes,Yes,Yes,Yes,712702800.0,4.0,100.0,79.3,89.8,91.6,95.5,87.2,90.0,18.8,11.8,0.4,95.5,0.7,96.8,"1,235","1,714",72.05,77.78,75.42,79.82,Same As National Rate,40,678,5.90,5.02,3.91,6.57,Worse Than National Rate,122,945,12.91,12.57,10.78,14.66,Worse Than National Rate,1.07,"2,841"
2,17048,15,19,36340,3346843919,3,Yes,Yes,Yes,Yes,No,Yes,755042400.0,3.5,100.0,66.7,86.4,82.5,90.1,83.6,86.8,17.0,10.1,0.9,97.5,0.7,100.0,254,342,74.27,77.17,72.14,81.48,Same As National Rate,1,108,0.93,3.56,2.47,5.10,Same As National Rate,26,220,11.82,12.30,8.99,16.43,Same As National Rate,1.03,768
2,17051,26,20,35209,2058680147,3,Yes,Yes,Yes,Yes,Yes,Yes,770245200.0,4.5,99.8,66.8,91.6,92.5,91.9,91.2,92.4,15.0,11.0,0.1,98.0,0.7,99.2,985,"1,253",78.61,83.24,80.80,85.45,Better Than National Rate,17,565,3.01,3.69,2.76,4.99,Same As National Rate,59,709,8.32,8.84,7.15,11.13,Same As National Rate,0.99,"1,697"
2,17052,15,17,36535,2519433002,3,Yes,Yes,Yes,Yes,Yes,Yes,779835600.0,4.0,99.9,91.3,84.8,85.9,86.2,88.5,79.8,13.6,13.3,0.0,98.0,1.6,100.0,721,844,85.43,85.96,83.48,88.19,Better Than National Rate,10,363,2.75,3.94,2.81,5.34,Same As National Rate,42,471,8.92,10.45,7.93,13.32,Same As National Rate,1.01,"1,454"
2,17053,27,14,36305,3347935758,3,Yes,Yes,Yes,Yes,Yes,Yes,777157200.0,4.0,97.8,62.7,89.2,91.9,89.8,87.9,91.8,15.2,12.9,0.0,97.7,1.4,98.9,"1,759","2,279",77.18,81.68,79.93,83.44,Better Than National Rate,29,957,3.03,3.57,2.77,4.52,Same As National Rate,168,"1,301",12.91,12.47,10.94,14.19,Worse Than National Rate,1.04,"4,963"
2,17054,15,21,35209,2058360777,3,Yes,Yes,Yes,Yes,Yes,Yes,778453200.0,4.5,99.7,69.3,97.9,96.0,94.0,86.9,93.4,15.6,11.8,0.4,97.5,0.6,99.0,399,556,71.76,80.30,76.01,84.00,Same As National Rate,6,195,3.08,3.59,2.53,5.06,Same As National Rate,31,333,9.31,8.31,6.35,10.88,Same As National Rate,1.02,"1,002"
2,17055,15,22,36066,3343619806,3,Yes,Yes,Yes,Yes,Yes,Yes,770850000.0,4.0,99.7,67.7,91.4,86.7,91.7,85.3,84.7,14.0,9.9,0.1,98.2,0.5,99.8,385,509,75.64,82.20,77.73,85.62,Better Than National Rate,5,222,2.25,3.46,2.42,4.71,Same As National Rate,30,272,11.03,9.78,7.25,12.88,Same As National Rate,1.03,790
2,17056,15,23,36064,3342701151,3,Yes,Yes,Yes,Yes,Yes,Yes,786232800.0,4.0,99.4,69.3,90.3,86.2,89.0,94.6,85.2,15.2,7.5,0.2,98.6,0.4,99.8,331,484,68.39,74.57,70.22,79.06,Same As National Rate,6,216,2.78,3.55,2.50,4.97,Same As National Rate,31,246,12.60,10.84,8.07,14.33,Same As National Rate,1.08,872
2,17058,15,24,36526,2516210882,3,Yes,Yes,Yes,Yes,Yes,Yes,782859600.0,4.0,98.0,77.6,89.6,87.4,89.8,90.3,87.4,16.3,10.9,0.1,97.7,0.5,99.5,773,"1,060",72.92,74.85,72.24,77.13,Same As National Rate,11,358,3.07,4.02,2.94,5.39,Same As National Rate,76,648,11.73,12.71,10.52,15.21,Worse Than National Rate,1.06,"2,174"
2,17066,28,13,36607,2514338172,3,Yes,Yes,Yes,Yes,Yes,Yes,824940000.0,5.0,99.6,94.3,96.4,94.9,96.9,95.4,99.0,14.9,9.6,0.0,99.6,1.3,100.0,272,419,64.92,74.01,68.88,78.50,Same As National Rate,8,184,4.35,3.99,2.90,5.56,Same As National Rate,47,359,13.09,9.81,7.88,12.25,Same As National Rate,1.05,929
2,17069,29,17,36535,8007636382,3,Yes,Yes,Yes,Yes,Yes,Yes,835909200.0,4.5,99.8,77.6,88.6,92.5,92.6,93.8,85.8,16.2,11.3,0.2,99.6,0.8,98.8,"1,026","1,355",75.72,80.40,78.11,82.61,Better Than National Rate,29,739,3.92,4.09,3.14,5.23,Same As National Rate,96,787,12.20,12.07,10.03,14.31,Worse Than National Rate,1.03,"2,495"
2,17070,30,25,36522,2518663261,3,Yes,Yes,Yes,Yes,Yes,Yes,835909200.0,4.0,100.0,62.4,90.2,93.3,93.0,89.9,86.2,19.6,13.3,0.0,98.0,0.6,100.0,248,333,74.47,81.68,76.46,86.15,Same As National Rate,1,128,0.78,3.34,2.36,4.69,Same As National Rate,29,210,13.81,10.87,8.08,14.20,Same As National Rate,0.99,689
2,17071,15,26,35650,2569742741,3,Yes,Yes,Yes,Yes,Yes,Yes,840315600.0,5.0,99.9,79.6,100.0,97.6,97.4,91.3,98.7,15.7,10.9,0.0,96.1,1.5,96.7,"2,496","3,486",71.60,77.40,75.55,79.09,Same As National Rate,24,"1,102",2.18,2.92,2.21,3.86,Better Than National Rate,261,"2,059",12.68,12.41,11.21,13.99,Worse Than National Rate,1.06,"9,933"
2,17072,31,27,36037,3343822042,3,Yes,Yes,Yes,No,No,Yes,854834400.0,4.5,99.4,57.1,92.0,89.8,91.9,90.1,90.3,11.3,13.7,0.1,98.1,1.3,98.3,243,336,72.32,79.09,73.55,83.78,Same As National Rate,5,124,4.03,3.92,2.69,5.47,Same As National Rate,18,156,11.54,10.29,7.34,14.44,Same As National Rate,0.96,660
2,17078,32,28,35447,8002777445,3,Yes,Yes,Yes,Yes,Yes,Yes,960498000.0,4.5,100.0,79.1,90.8,92.5,92.3,88.8,89.1,11.8,7.1,0.0,99.3,0.7,99.0,299,392,76.28,81.38,76.76,85.24,Better Than National Rate,3,131,2.29,3.57,2.51,5.18,Same As National Rate,30,219,13.70,12.74,9.40,16.77,Same As National Rate,1.03,798
2,17079,14,29,35592,2056956736,3,Yes,Yes,No,Yes,No,Yes,977090400.0,4.0,99.1,55.1,90.6,87.6,88.8,86.9,88.1,14.1,13.8,0.0,98.7,2.6,99.6,149,206,72.33,76.30,69.96,82.35,Same As National Rate,2,83,2.41,3.77,2.52,5.53,Same As National Rate,20,114,17.54,14.52,9.86,21.11,Same As National Rate,1.04,687
2,17080,33,30,35401,2057597010,2,Yes,Yes,Yes,Yes,Yes,Yes,988491600.0,3.5,99.4,79.4,85.9,81.4,87.2,89.1,76.5,16.9,7.7,0.2,99.5,0.2,99.8,586,749,78.24,84.46,81.36,87.40,Better Than National Rate,10,327,3.06,3.51,2.50,4.83,Same As National Rate,34,363,9.37,9.75,7.35,12.69,Same As National Rate,0.94,"1,037"
2,17082,34,31,35042,2059263211,3,Yes,Yes,No,No,No,Yes,1004824800.0,3.0,87.3,76.4,71.5,87.0,74.7,83.0,83.2,9.8,11.2,0.4,97.8,0.6,99.8,31,65,47.69,56.43,44.43,68.62,Worse Than National Rate,3,27,11.11,4.16,2.93,6.13,Same As National Rate,9,54,16.67,12.02,7.28,18.53,Same As National Rate,1.06,244
2,17084,15,32,36701,3348726637,3,Yes,Yes,Yes,Yes,Yes,Yes,1006034400.0,4.5,100.0,96.3,93.4,90.5,92.1,96.5,89.7,18.4,18.2,0.0,99.1,0.3,99.5,163,224,72.77,83.18,76.26,89.01,Same As National Rate,3,109,2.75,3.64,2.43,5.15,Same As National Rate,18,146,12.33,9.53,6.66,13.24,Same As National Rate,1.00,480
2,17085,35,33,35150,2562080087,3,Yes,Yes,Yes,Yes,Yes,Yes,1007244000.0,4.5,100.0,57.1,89.6,91.8,87.9,89.8,85.0,13.5,13.5,0.0,91.0,0.5,100.0,335,407,82.31,91.38,86.83,95.20,Better Than National Rate,5,220,2.27,3.40,2.51,4.90,Same As National Rate,25,239,10.46,9.93,7.40,13.59,Same As National Rate,1.07,724
2,17086,36,34,36726,3346829050,3,Yes,Yes,Yes,Yes,Yes,Yes,1010268000.0,4.0,98.6,63.2,94.5,87.4,87.8,97.5,84.3,11.7,14.4,0.7,95.7,0.6,100.0,208,253,82.21,83.49,78.03,87.33,Better Than National Rate,2,56,3.57,3.80,2.70,5.41,Same As National Rate,9,115,7.83,10.05,6.55,15.26,Same As National Rate,0.84,533
2,17088,37,35,35555,2059325961,3,Yes,Yes,Yes,Yes,Yes,Yes,1008367200.0,5.0,100.0,72.6,95.4,94.5,89.9,94.6,94.4,12.2,10.8,0.6,99.6,2.4,100.0,257,321,80.06,87.30,82.52,92.03,Better Than National Rate,5,140,3.57,3.78,2.58,5.22,Same As National Rate,21,195,10.77,10.02,7.03,13.88,Same As National Rate,0.95,744
2,17089,38,36,35058,2567372831,2,Yes,Yes,Yes,No,Yes,Yes,1023570000.0,3.0,98.1,62.3,82.4,86.1,87.6,81.5,81.5,14.9,7.0,0.2,99.1,0.9,100.0,450,545,82.57,88.51,85.04,91.53,Better Than National Rate,10,288,3.47,3.75,2.70,5.09,Same As National Rate,14,278,5.04,6.00,4.10,8.47,Better Than National Rate,1.00,778
2,17090,15,37,36904,2518432808,3,Yes,Yes,No,No,No,Yes,1023483600.0,4.5,99.8,73.3,95.0,92.4,91.7,91.5,88.6,16.3,16.2,0.0,74.6,0.5,100.0,336,462,72.73,80.04,75.50,84.12,Same As National Rate,3,160,1.88,3.45,2.46,4.93,Same As National Rate,26,267,9.74,8.91,6.63,11.99,Same As National Rate,0.98,766
2,17091,39,38,36744,3346243066,4,Yes,Yes,Yes,Yes,No,Yes,1024174800.0,2.5,97.4,58.9,79.6,79.4,88.0,77.3,74.7,22.2,11.3,1.8,97.0,0.4,100.0,127,162,78.40,82.38,75.08,88.34,Same As National Rate,2,67,2.99,3.74,2.60,5.40,Same As National Rate,13,86,15.12,13.12,8.63,19.78,Same As National Rate,1.08,367
2,17092,14,28,35447,2053678111,3,Yes,Yes,No,Yes,No,Yes,1025298000.0,4.0,99.1,63.0,86.3,91.7,86.5,81.4,91.0,9.0,12.2,0.7,97.2,1.4,98.1,90,133,67.67,73.05,64.58,79.85,Same As National Rate,2,45,4.44,3.95,2.69,5.76,Same As National Rate,8,70,11.43,10.17,6.46,15.41,Same As National Rate,0.98,573
2,17093,40,39,35968,2565242411,3,Yes,Yes,Yes,Yes,Yes,Yes,1027803600.0,5.0,100.0,81.2,100.0,94.5,95.7,92.3,93.5,13.3,15.6,0.0,98.7,1.1,100.0,152,190,80.00,84.66,78.61,89.77,Better Than National Rate,1,99,1.01,3.55,2.39,5.15,Same As National Rate,13,105,12.38,10.72,7.32,15.52,Same As National Rate,0.88,439
2,17094,41,40,35960,2569271144,3,Yes,Yes,Yes,No,Yes,Yes,1029013200.0,4.5,100.0,53.6,93.2,90.8,97.1,91.5,90.0,15.2,8.3,0.0,98.9,1.1,100.0,292,370,78.92,84.47,80.59,88.66,Better Than National Rate,3,153,1.96,3.47,2.45,4.88,Same As National Rate,25,175,14.29,12.98,9.53,17.48,Same As National Rate,0.98,784
2,17095,42,41,35611,2562339533,3,Yes,Yes,Yes,Yes,Yes,No,1028926800.0,4.0,99.3,60.1,89.2,93.8,86.9,89.0,85.4,11.8,14.0,0.0,99.1,0.9,99.9,525,652,80.52,87.89,84.24,91.00,Better Than National Rate,12,332,3.61,3.91,2.87,5.14,Same As National Rate,34,327,10.40,9.41,7.02,12.19,Same As National Rate,0.97,"1,181"
2,17096,43,42,36081,3344034520,1,Yes,Yes,Yes,Yes,Yes,Yes,1035493200.0,4.0,99.9,49.2,89.8,89.5,88.4,87.5,85.5,13.2,17.0,0.1,99.6,0.0,100.0,291,368,79.08,83.34,78.64,87.32,Better Than National Rate,1,92,1.09,3.54,2.25,5.09,Same As National Rate,15,170,8.82,9.79,6.48,13.99,Same As National Rate,0.91,680
2,17097,44,43,36251,2563540077,1,Yes,Yes,Yes,No,Yes,Yes,1035493200.0,3.5,99.7,49.3,88.2,87.7,89.1,89.6,84.8,16.5,19.0,0.7,98.7,2.2,100.0,174,221,78.73,83.38,77.68,88.57,Better Than National Rate,5,95,5.26,4.13,2.75,6.06,Same As National Rate,19,122,15.57,13.85,9.24,19.82,Same As National Rate,0.93,446
2,17100,45,44,35570,2059210391,3,Yes,Yes,Yes,Yes,Yes,Yes,1035666000.0,4.5,100.0,78.2,89.8,89.9,93.2,83.5,88.8,12.1,18.5,0.9,97.5,0.0,100.0,148,177,83.62,89.40,82.31,94.06,Better Than National Rate,6,85,7.06,4.31,3.04,6.07,Same As National Rate,8,68,11.76,10.56,6.66,16.25,Same As National Rate,0.88,427
2,17103,46,45,36732,3342890701,4,Yes,Yes,Yes,Yes,No,Yes,1040421600.0,2.5,85.5,40.6,65.5,53.1,81.0,80.6,68.9,13.8,3.9,0.0,87.2,2.1,100.0,83,118,70.34,73.73,64.94,81.30,Same As National Rate,2,33,6.06,4.00,2.78,5.61,Same As National Rate,1,56,1.79,7.22,4.20,12.42,Same As National Rate,0.80,324
2,17104,47,46,35768,2562594840,4,Yes,Yes,Yes,Yes,No,Yes,1042236000.0,2.5,98.9,60.8,76.2,84.6,77.1,69.0,75.5,14.3,14.5,0.0,98.1,1.3,100.0,147,238,61.76,68.57,61.64,74.46,Worse Than National Rate,3,104,2.88,3.77,2.55,5.52,Same As National Rate,9,98,9.18,8.77,5.66,12.94,Same As National Rate,0.93,455
2,17106,48,47,36401,2515786800,5,Yes,Yes,No,No,No,Yes,1042149600.0,2.0,92.6,88.2,72.0,73.0,74.5,69.5,78.0,29.9,9.9,1.4,93.9,3.0,100.0,100,161,62.11,66.76,59.56,73.45,Worse Than National Rate,5,83,6.02,4.24,2.91,6.07,Same As National Rate,12,76,15.79,12.74,8.18,19.20,Same As National Rate,1.13,433
2,17107,49,48,35045,2052804663,3,Yes,Yes,Yes,Yes,Yes,Yes,1053550800.0,4.0,99.7,67.9,85.6,87.8,88.9,91.0,85.8,14.3,9.4,0.1,98.5,1.5,98.8,333,422,78.91,84.76,80.67,88.40,Better Than National Rate,6,191,3.14,3.64,2.62,4.97,Same As National Rate,28,201,13.93,12.59,9.11,16.61,Same As National Rate,0.99,850
